Name,Age,Occupation,Annual Income (INR),Credit Score (300-850),Lender,Loan Purpose,Approved Loan Amount (INR),Months of Payment,Interest Rate (%),Monthly EMI (INR),DTI Ratio,Loan Status (Pass/Rejected)
Person 8177,52,Doctor,1129988,686,State Bank of India,Debt Consolidation,506993,48,11.19,13150,0.14,Rejected
Person 8178,66,Retired (Pension),232206,549,Axis Bank,Wedding Expenses,0,24,33.42,0,0.0,Rejected
Person 8179,26,Software Engineer,909364,628,ICICI Bank,Debt Consolidation,804593,60,25.02,23625,0.312,Rejected
Person 8180,30,Software Engineer,1274371,591,Axis Bank,Debt Consolidation,624303,60,16.62,15388,0.145,Rejected
Person 8181,42,Software Engineer,2595646,802,Bajaj Finserv,Debt Consolidation,704222,60,6.58,13805,0.064,Pass
Person 8182,30,Software Engineer,1190591,630,HDFC Bank,Debt Consolidation,430858,48,27.28,14839,0.15,Rejected
Person 8183,37,Software Engineer,1560243,469,State Bank of India,Debt Consolidation,0,48,35.0,0,0.0,Rejected
Person 8184,63,CEO,40234902,682,Kotak Mahindra Bank,Travel/Vacation,860906,18,15.89,54069,0.016,Rejected
Person 8185,23,Retail Manager,1006806,572,ICICI Bank,Medical Emergency,0,12,30.38,0,0.0,Rejected
Person 8186,36,Software Engineer,3060700,585,HDFC Bank,Debt Consolidation,599886,60,17.39,15035,0.059,Rejected
Person 8187,44,Doctor,1241203,552,Axis Bank,Debt Consolidation,0,48,33.56,0,0.0,Rejected
Person 8188,23,University Student,115241,613,Bajaj Finserv,Consumer Durable/Tech,429597,12,17.04,39189,4.081,Rejected
Person 8189,27,Freelance Designer,450083,612,Axis Bank,Home Renovation,913704,60,23.79,26174,0.698,Rejected
Person 8190,39,Retail Manager,1272927,554,Bajaj Finserv,Medical Emergency,0,12,28.95,0,0.0,Rejected
Person 8191,22,University Student,56758,564,Bajaj Finserv,Vehicle Purchase,0,36,31.63,0,0.0,Rejected
Person 8192,39,Retail Manager,1146467,607,HDFC Bank,Medical Emergency,733864,24,21.86,38021,0.398,Rejected
Person 8193,24,Retail Manager,1435008,436,ICICI Bank,Medical Emergency,0,12,23.33,0,0.0,Rejected
Person 8194,32,Doctor,3098647,499,Kotak Mahindra Bank,Debt Consolidation,0,48,1.75,0,0.0,Rejected
Person 8195,43,Retail Manager,1304521,716,ICICI Bank,Medical Emergency,535284,12,16.08,48587,0.447,Pass
Person 8196,43,Retail Manager,949198,622,State Bank of India,Medical Emergency,869645,36,23.47,33877,0.428,Rejected
Person 8197,31,Construction Worker,397497,563,ICICI Bank,Education (Tuition/Fees),0,48,25.81,0,0.0,Rejected
Person 8198,40,Retail Manager,2409036,481,Bajaj Finserv,Medical Emergency,0,12,23.26,0,0.0,Rejected
Person 8199,24,Freelance Designer,974617,596,Bajaj Finserv,Home Renovation,629799,48,17.05,18189,0.224,Rejected
Person 8200,36,Software Engineer,1761760,668,State Bank of India,Debt Consolidation,446986,48,17.95,13119,0.089,Rejected
Person 8201,40,Software Engineer,1218580,784,Axis Bank,Debt Consolidation,805224,60,13.57,18557,0.183,Pass
Person 8202,41,High School Teacher,405975,732,Bajaj Finserv,Medical Emergency,595020,24,11.82,27960,0.826,Rejected
Person 8203,24,University Student,47402,537,State Bank of India,Consumer Durable/Tech,0,12,22.72,0,0.0,Rejected
Person 8204,34,Retail Manager,2101016,565,Bajaj Finserv,Medical Emergency,0,12,35.0,0,0.0,Rejected
Person 8205,45,Construction Worker,481776,496,Kotak Mahindra Bank,Education (Tuition/Fees),0,48,26.98,0,0.0,Rejected
Person 8206,23,Retail Manager,1288392,541,Bajaj Finserv,Medical Emergency,0,12,34.66,0,0.0,Rejected
Person 8207,28,Software Engineer,1097906,585,HDFC Bank,Debt Consolidation,529067,48,25.85,17794,0.194,Rejected
Person 8208,34,Software Engineer,2066175,574,State Bank of India,Debt Consolidation,0,48,31.2,0,0.0,Rejected
Person 8209,28,Retail Manager,1708968,743,ICICI Bank,Medical Emergency,425452,12,9.92,37388,0.263,Pass
Person 8210,41,Software Engineer,733481,507,State Bank of India,Debt Consolidation,0,48,35.0,0,0.0,Rejected
Person 8211,44,Software Engineer,1602131,596,Axis Bank,Debt Consolidation,663677,60,26.21,19953,0.149,Rejected
Person 8212,23,University Student,64067,455,Bajaj Finserv,Wedding Expenses,0,24,33.36,0,0.0,Rejected
Person 8213,43,Software Engineer,2066584,623,State Bank of India,Debt Consolidation,430858,48,21.29,13409,0.078,Rejected
Person 8214,26,Freelance Designer,535137,506,Kotak Mahindra Bank,Home Renovation,0,36,22.12,0,0.0,Rejected
Person 8215,31,Retail Manager,1766986,677,State Bank of India,Medical Emergency,284175,12,12.34,25294,0.172,Rejected
Person 8216,30,Freelance Designer,664970,579,Kotak Mahindra Bank,Home Renovation,0,36,27.99,0,0.0,Rejected
Person 8217,48,Freelance Designer,509332,501,Bajaj Finserv,Home Renovation,0,36,35.0,0,0.0,Rejected
Person 8218,34,Retail Manager,2076434,452,ICICI Bank,Medical Emergency,0,12,27.55,0,0.0,Rejected
Person 8219,40,Retail Manager,1272557,531,Bajaj Finserv,Medical Emergency,0,12,25.17,0,0.0,Rejected
Person 8220,80,Retired (Pension),204099,616,Axis Bank,Wedding Expenses,971909,48,28.45,34124,2.006,Rejected
Person 8221,23,University Student,32750,629,HDFC Bank,Vehicle Purchase,660253,48,14.39,18172,6.658,Rejected
Person 8222,28,Software Engineer,2839319,565,ICICI Bank,Debt Consolidation,0,48,35.0,0,0.0,Rejected
Person 8223,27,Software Engineer,2334038,664,ICICI Bank,Debt Consolidation,496091,48,19.17,14878,0.076,Rejected
Person 8224,20,University Student,61351,520,HDFC Bank,Consumer Durable/Tech,0,12,35.0,0,0.0,Rejected
Person 8225,25,Retail Manager,2036842,395,State Bank of India,Medical Emergency,0,12,13.29,0,0.0,Rejected
Person 8226,46,Freelance Designer,1221655,619,Bajaj Finserv,Home Renovation,543303,36,18.67,19825,0.195,Rejected
Person 8227,26,Retail Manager,1380837,690,State Bank of India,Medical Emergency,633673,24,10.25,29314,0.255,Rejected
Person 8228,32,Software Engineer,1228747,690,State Bank of India,Debt Consolidation,984883,72,10.65,18570,0.181,Rejected
Person 8229,37,Freelance Designer,603627,509,Bajaj Finserv,Home Renovation,0,36,29.45,0,0.0,Rejected
Person 8230,43,Freelance Designer,1249767,561,Axis Bank,Home Renovation,0,36,24.66,0,0.0,Rejected
Person 8231,32,Doctor,2060919,650,ICICI Bank,Debt Consolidation,461402,48,25.47,15420,0.09,Rejected
Person 8232,36,High School Teacher,520488,556,Kotak Mahindra Bank,Home Renovation,0,36,35.0,0,0.0,Rejected
Person 8233,18,University Student,20406,607,HDFC Bank,Wedding Expenses,815225,36,17.89,29427,17.305,Rejected
Person 8234,29,Freelance Designer,944245,549,ICICI Bank,Home Renovation,0,36,22.37,0,0.0,Rejected
Person 8235,37,Software Engineer,2742735,523,State Bank of India,Debt Consolidation,0,48,33.82,0,0.0,Rejected
Person 8236,25,Freelance Designer,844620,537,HDFC Bank,Home Renovation,0,36,22.91,0,0.0,Rejected
Person 8237,73,Retired (Pension),112381,666,Kotak Mahindra Bank,Wedding Expenses,755308,36,20.85,28398,3.032,Rejected
Person 8238,23,University Student,113713,600,ICICI Bank,Wedding Expenses,334001,24,17.09,16528,1.744,Rejected
Person 8239,34,Construction Worker,539020,689,ICICI Bank,Education (Tuition/Fees),626826,60,11.95,13928,0.31,Pass
Person 8240,30,Software Engineer,1560387,636,Axis Bank,Debt Consolidation,898567,72,20.3,21680,0.167,Rejected
Person 8241,76,Retired (Pension),156963,712,ICICI Bank,Wedding Expenses,961097,48,12.45,25522,1.951,Rejected
Person 8242,25,Construction Worker,455781,657,ICICI Bank,Education (Tuition/Fees),658451,60,13.86,15273,0.402,Pass
Person 8243,32,Software Engineer,811437,653,Kotak Mahindra Bank,Debt Consolidation,1383486,72,24.92,37199,0.55,Rejected
Person 8244,41,High School Teacher,847530,591,Kotak Mahindra Bank,Medical Emergency,1026419,36,16.39,36284,0.514,Rejected
Person 8245,24,Retail Manager,1065655,810,HDFC Bank,Medical Emergency,669173,24,6.38,29773,0.335,Pass
Person 8246,38,Construction Worker,401035,607,State Bank of India,Education (Tuition/Fees),479332,48,16.67,13749,0.411,Rejected
Person 8247,38,Doctor,1204519,461,Kotak Mahindra Bank,Debt Consolidation,0,48,31.74,0,0.0,Rejected
Person 8248,23,Freelance Designer,810619,618,HDFC Bank,Home Renovation,728819,48,23.83,23692,0.351,Rejected
Person 8249,18,University Student,44320,531,ICICI Bank,Consumer Durable/Tech,0,12,32.12,0,0.0,Rejected
Person 8250,22,University Student,30870,671,HDFC Bank,Wedding Expenses,337424,24,17.53,16769,6.519,Rejected
Person 8251,21,University Student,3753,650,HDFC Bank,Consumer Durable/Tech,548889,12,22.31,51455,164.524,Rejected
Person 8252,46,CEO,37749672,586,HDFC Bank,Travel/Vacation,952447,24,24.16,50433,0.016,Rejected
Person 8253,44,Software Engineer,1662366,537,Bajaj Finserv,Debt Consolidation,0,48,32.57,0,0.0,Rejected
Person 8254,49,Construction Worker,268816,610,HDFC Bank,Education (Tuition/Fees),323279,48,15.43,9068,0.405,Rejected
Person 8255,35,High School Teacher,675953,555,Kotak Mahindra Bank,Medical Emergency,0,12,29.44,0,0.0,Rejected
Person 8256,20,University Student,63438,655,Bajaj Finserv,Vehicle Purchase,449689,36,17.01,16035,3.033,Rejected
Person 8257,47,Retail Manager,1889654,638,State Bank of India,Medical Emergency,470682,12,19.78,43552,0.277,Rejected
Person 8258,59,CEO,43114249,805,HDFC Bank,Travel/Vacation,516543,12,10.55,45545,0.013,Pass
Person 8259,32,Construction Worker,293488,568,Axis Bank,Education (Tuition/Fees),0,48,34.36,0,0.0,Rejected
Person 8260,24,University Student,59355,578,ICICI Bank,Wedding Expenses,0,24,22.53,0,0.0,Rejected
Person 8261,27,Software Engineer,2950535,589,ICICI Bank,Debt Consolidation,584479,60,18.19,14902,0.061,Rejected
Person 8262,27,Software Engineer,1932192,592,Bajaj Finserv,Debt Consolidation,689445,60,21.96,19026,0.118,Rejected
Person 8263,21,University Student,69421,671,ICICI Bank,Wedding Expenses,826217,36,16.95,29436,5.088,Rejected
Person 8264,36,Software Engineer,1810017,580,ICICI Bank,Debt Consolidation,454735,48,24.75,15014,0.1,Rejected
Person 8265,22,University Student,0,738,Bajaj Finserv,Vehicle Purchase,411757,36,13.1,13894,13893.562,Rejected
Person 8266,44,Software Engineer,3109769,640,ICICI Bank,Debt Consolidation,696022,60,25.56,20658,0.08,Rejected
Person 8267,28,Construction Worker,369477,565,HDFC Bank,Education (Tuition/Fees),0,48,14.15,0,0.0,Rejected
Person 8268,28,Retail Manager,2116303,548,State Bank of India,Medical Emergency,0,12,31.9,0,0.0,Rejected
Person 8269,34,Construction Worker,339048,672,Bajaj Finserv,Education (Tuition/Fees),587542,60,8.39,12023,0.426,Pass
Person 8270,30,Construction Worker,381302,601,Axis Bank,Education (Tuition/Fees),370671,48,18.4,10966,0.345,Rejected
Person 8271,46,Retail Manager,2635163,600,Bajaj Finserv,Medical Emergency,562134,12,21.15,52383,0.239,Rejected
Person 8272,37,Software Engineer,654916,558,Kotak Mahindra Bank,Debt Consolidation,0,48,34.3,0,0.0,Rejected
Person 8273,36,Software Engineer,771520,595,Axis Bank,Debt Consolidation,706744,60,23.37,20074,0.312,Rejected
Person 8274,34,Freelance Designer,818139,555,Kotak Mahindra Bank,Home Renovation,0,36,21.87,0,0.0,Rejected
Person 8275,45,Freelance Designer,121698,695,Bajaj Finserv,Home Renovation,405180,36,15.13,14072,1.388,Rejected
Person 8276,69,Retired (Pension),233619,650,Kotak Mahindra Bank,Wedding Expenses,494018,24,22.68,25795,1.325,Rejected
Person 8277,22,Freelance Designer,616334,587,Axis Bank,Home Renovation,1165353,60,14.89,27656,0.538,Rejected
Person 8278,32,High School Teacher,406390,586,HDFC Bank,Medical Emergency,903523,36,21.08,34077,1.006,Rejected
Person 8279,43,Retail Manager,1120109,606,Bajaj Finserv,Medical Emergency,1152830,36,21.63,43807,0.469,Rejected
Person 8280,40,Software Engineer,507322,599,Bajaj Finserv,Debt Consolidation,526725,48,23.08,16905,0.4,Rejected
Person 8281,34,Retail Manager,1879567,533,ICICI Bank,Medical Emergency,0,12,19.91,0,0.0,Rejected
Person 8282,47,CEO,34661897,466,Bajaj Finserv,Travel/Vacation,0,12,33.72,0,0.0,Rejected
Person 8283,20,University Student,0,544,Bajaj Finserv,Vehicle Purchase,0,36,24.68,0,0.0,Rejected
Person 8284,45,Retail Manager,1436079,591,HDFC Bank,Medical Emergency,675119,24,14.14,32459,0.271,Rejected
Person 8285,26,Freelance Designer,953547,548,ICICI Bank,Home Renovation,0,36,24.46,0,0.0,Rejected
Person 8286,19,University Student,81279,657,State Bank of India,Vehicle Purchase,1089489,60,15.4,26148,3.861,Rejected
Person 8287,35,High School Teacher,537938,583,Kotak Mahindra Bank,Medical Emergency,856220,24,22.23,44516,0.993,Rejected
Person 8288,31,Software Engineer,2098118,731,Axis Bank,Debt Consolidation,482395,48,19.78,14623,0.084,Pass
Person 8289,34,Software Engineer,1933194,560,State Bank of India,Debt Consolidation,0,48,29.71,0,0.0,Rejected
Person 8290,31,Freelance Designer,685330,609,ICICI Bank,Home Renovation,372834,36,20.62,13974,0.245,Rejected
Person 8291,64,CEO,39288102,579,HDFC Bank,Travel/Vacation,0,12,26.84,0,0.0,Rejected
Person 8292,23,Construction Worker,405664,630,Axis Bank,Education (Tuition/Fees),751614,72,17.27,16834,0.498,Rejected
Person 8293,27,Software Engineer,3034189,674,Kotak Mahindra Bank,Debt Consolidation,509515,48,14.36,14015,0.055,Rejected
Person 8294,32,Software Engineer,1994780,642,Bajaj Finserv,Debt Consolidation,910370,72,20.32,21975,0.132,Rejected
Person 8295,24,University Student,124232,457,Bajaj Finserv,Wedding Expenses,0,24,17.26,0,0.0,Rejected
Person 8296,20,University Student,0,634,State Bank of India,Vehicle Purchase,616915,48,13.72,16772,16771.591,Rejected
Person 8297,34,Construction Worker,452969,529,Kotak Mahindra Bank,Education (Tuition/Fees),0,48,22.4,0,0.0,Rejected
Person 8298,28,Construction Worker,392950,578,ICICI Bank,Education (Tuition/Fees),0,48,19.25,0,0.0,Rejected
Person 8299,37,Software Engineer,1476674,648,Kotak Mahindra Bank,Debt Consolidation,511678,48,19.54,15445,0.126,Rejected
Person 8300,19,University Student,129472,521,HDFC Bank,Vehicle Purchase,0,36,23.63,0,0.0,Rejected
Person 8301,23,University Student,64195,680,State Bank of India,Wedding Expenses,653315,36,14.44,22469,4.2,Rejected
Person 8302,30,Retail Manager,1913343,575,State Bank of India,Medical Emergency,0,12,32.97,0,0.0,Rejected
Person 8303,79,Retired (Pension),208332,751,HDFC Bank,Wedding Expenses,564116,24,9.07,25790,1.485,Rejected
Person 8304,54,Doctor,2196954,604,Kotak Mahindra Bank,Debt Consolidation,647278,60,16.43,15889,0.087,Rejected
Person 8305,26,Software Engineer,1801435,719,HDFC Bank,Debt Consolidation,758101,60,16.15,18496,0.123,Rejected
Person 8306,47,Doctor,1166180,683,Axis Bank,Debt Consolidation,717196,60,18.93,18577,0.191,Rejected
Person 8307,40,Software Engineer,1894165,557,HDFC Bank,Debt Consolidation,0,48,33.83,0,0.0,Rejected
Person 8308,46,Retail Manager,1011804,508,Kotak Mahindra Bank,Medical Emergency,0,12,32.56,0,0.0,Rejected
Person 8309,36,High School Teacher,477135,607,HDFC Bank,Medical Emergency,551412,12,25.38,52510,1.321,Rejected
Person 8310,28,Freelance Designer,278443,559,ICICI Bank,Home Renovation,0,36,31.16,0,0.0,Rejected
Person 8311,31,High School Teacher,458042,710,Bajaj Finserv,Home Renovation,696653,48,11.61,18212,0.477,Pass
Person 8312,38,Retail Manager,1094892,582,HDFC Bank,Medical Emergency,362472,12,15.97,32882,0.36,Rejected
Person 8313,37,Software Engineer,462590,578,Bajaj Finserv,Debt Consolidation,0,48,29.75,0,0.0,Rejected
Person 8314,32,Construction Worker,448650,502,HDFC Bank,Education (Tuition/Fees),0,48,28.41,0,0.0,Rejected
Person 8315,27,Retail Manager,1289650,629,Kotak Mahindra Bank,Medical Emergency,543573,12,21.15,50653,0.471,Rejected
Person 8316,44,Retail Manager,1631585,517,Axis Bank,Medical Emergency,0,12,22.22,0,0.0,Rejected
Person 8317,20,University Student,49646,630,Axis Bank,Vehicle Purchase,497712,36,22.09,19031,4.6,Rejected
Person 8318,73,Retired (Pension),259049,640,Bajaj Finserv,Wedding Expenses,857482,48,21.31,26696,1.237,Rejected
Person 8319,23,University Student,30122,547,Kotak Mahindra Bank,Vehicle Purchase,0,36,35.0,0,0.0,Rejected
Person 8320,30,High School Teacher,795777,666,Kotak Mahindra Bank,Home Renovation,756299,48,21.03,23432,0.353,Rejected
Person 8321,26,Software Engineer,3968265,580,Kotak Mahindra Bank,Debt Consolidation,753686,60,16.6,18569,0.056,Rejected
Person 8322,43,Construction Worker,406447,497,ICICI Bank,Education (Tuition/Fees),0,48,23.32,0,0.0,Rejected
Person 8323,49,Doctor,2673124,708,State Bank of India,Debt Consolidation,916317,72,17.61,20698,0.093,Rejected
Person 8324,39,High School Teacher,325651,535,HDFC Bank,Medical Emergency,0,12,29.17,0,0.0,Rejected
Person 8325,41,Software Engineer,2215896,635,Kotak Mahindra Bank,Debt Consolidation,659712,60,18.85,17059,0.092,Rejected
Person 8326,22,University Student,0,629,Kotak Mahindra Bank,Vehicle Purchase,696113,48,16.54,19921,19921.087,Rejected
Person 8327,32,Software Engineer,1968006,627,Kotak Mahindra Bank,Debt Consolidation,495460,48,14.47,13656,0.083,Rejected
Person 8328,22,University Student,99386,626,Axis Bank,Consumer Durable/Tech,728188,24,18.53,36541,4.412,Rejected
Person 8329,18,University Student,11219,532,Kotak Mahindra Bank,Vehicle Purchase,0,36,29.43,0,0.0,Rejected
Person 8330,44,High School Teacher,921756,718,HDFC Bank,Home Renovation,430228,36,14.5,14809,0.193,Pass
Person 8331,60,Retired (Pension),220163,666,Kotak Mahindra Bank,Wedding Expenses,677822,36,19.79,25118,1.369,Rejected
Person 8332,43,Construction Worker,202453,633,HDFC Bank,Education (Tuition/Fees),726296,72,19.99,17393,1.031,Rejected
Person 8333,19,University Student,11009,506,ICICI Bank,Vehicle Purchase,0,36,19.02,0,0.0,Rejected
Person 8334,39,High School Teacher,765645,531,State Bank of India,Medical Emergency,0,12,26.63,0,0.0,Rejected
Person 8335,22,University Student,99596,646,Axis Bank,Wedding Expenses,739541,36,15.9,25964,3.128,Rejected
Person 8336,31,High School Teacher,818172,459,HDFC Bank,Home Renovation,0,36,35.0,0,0.0,Rejected
Person 8337,19,University Student,0,623,Bajaj Finserv,Consumer Durable/Tech,943797,36,22.64,36357,36357.268,Rejected
Person 8338,30,High School Teacher,507412,506,ICICI Bank,Home Renovation,0,36,35.0,0,0.0,Rejected
Person 8339,29,High School Teacher,570011,539,State Bank of India,Home Renovation,0,36,34.82,0,0.0,Rejected
Person 8340,23,University Student,0,501,State Bank of India,Wedding Expenses,0,24,35.0,0,0.0,Rejected
Person 8341,20,University Student,49093,617,State Bank of India,Vehicle Purchase,888116,60,16.49,21829,5.336,Rejected
Person 8342,31,Freelance Designer,684278,678,HDFC Bank,Home Renovation,462754,36,9.69,14865,0.261,Pass
Person 8343,39,Software Engineer,2292131,624,ICICI Bank,Debt Consolidation,711520,60,30.28,23143,0.121,Rejected
Person 8344,34,High School Teacher,313369,632,Kotak Mahindra Bank,Home Renovation,422839,36,17.35,15149,0.58,Rejected
Person 8345,60,CEO,40601478,611,Bajaj Finserv,Travel/Vacation,404189,12,25.05,38426,0.011,Rejected
Person 8346,21,University Student,64664,647,ICICI Bank,Wedding Expenses,356976,24,23.61,18804,3.49,Rejected
Person 8347,19,University Student,74236,632,ICICI Bank,Vehicle Purchase,732513,48,17.06,21159,3.42,Rejected
Person 8348,25,Software Engineer,2367528,409,ICICI Bank,Debt Consolidation,0,48,34.69,0,0.0,Rejected
Person 8349,40,High School Teacher,495067,663,HDFC Bank,Home Renovation,862347,48,20.38,26416,0.64,Rejected
Person 8350,43,Construction Worker,306066,656,Bajaj Finserv,Education (Tuition/Fees),830632,72,19.04,19436,0.762,Rejected
Person 8351,23,University Student,34910,574,HDFC Bank,Vehicle Purchase,0,36,26.46,0,0.0,Rejected
Person 8352,27,Software Engineer,1687557,461,Bajaj Finserv,Debt Consolidation,0,48,35.0,0,0.0,Rejected
Person 8353,19,University Student,176518,616,Bajaj Finserv,Vehicle Purchase,880818,60,16.06,21448,1.458,Rejected
Person 8354,49,Freelance Designer,1211231,622,HDFC Bank,Home Renovation,390674,36,15.37,13614,0.135,Rejected
Person 8355,26,Software Engineer,1295007,569,Bajaj Finserv,Debt Consolidation,0,48,22.69,0,0.0,Rejected
Person 8356,34,Retail Manager,1343567,613,ICICI Bank,Medical Emergency,531049,12,16.15,48220,0.431,Rejected
Person 8357,30,Retail Manager,1863621,675,HDFC Bank,Medical Emergency,391575,12,16.19,35563,0.229,Rejected
Person 8358,37,Freelance Designer,1074067,767,Bajaj Finserv,Home Renovation,631871,48,6.57,15005,0.168,Pass
Person 8359,29,Software Engineer,2279560,610,State Bank of India,Debt Consolidation,943437,72,19.42,22282,0.117,Rejected
Person 8360,31,Software Engineer,2108568,623,HDFC Bank,Debt Consolidation,468340,48,16.46,13383,0.076,Rejected
Person 8361,22,University Student,38605,542,Axis Bank,Vehicle Purchase,0,36,35.0,0,0.0,Rejected
Person 8362,44,Software Engineer,1152087,564,HDFC Bank,Debt Consolidation,0,48,24.0,0,0.0,Rejected
Person 8363,53,Doctor,1869642,590,HDFC Bank,Debt Consolidation,610247,60,23.7,17449,0.112,Rejected
Person 8364,37,High School Teacher,698730,682,HDFC Bank,Home Renovation,849102,48,11.72,22244,0.382,Pass
Person 8365,48,Freelance Designer,681398,657,Bajaj Finserv,Home Renovation,1217792,60,24.89,35665,0.628,Rejected
Person 8366,19,University Student,38460,735,HDFC Bank,Wedding Expenses,599706,36,14.93,20768,6.48,Rejected
Person 8367,31,High School Teacher,859212,495,Axis Bank,Medical Emergency,0,12,27.72,0,0.0,Rejected
Person 8368,19,University Student,10150,507,Kotak Mahindra Bank,Wedding Expenses,0,24,22.97,0,0.0,Rejected
Person 8369,36,Construction Worker,385591,677,HDFC Bank,Education (Tuition/Fees),537627,60,7.74,10834,0.337,Pass
Person 8370,30,Software Engineer,2935228,701,State Bank of India,Debt Consolidation,800178,60,17.4,20059,0.082,Rejected
Person 8371,29,Software Engineer,2034681,602,Axis Bank,Debt Consolidation,984072,72,21.13,24220,0.143,Rejected
Person 8372,26,High School Teacher,378568,300,Kotak Mahindra Bank,Medical Emergency,0,12,33.75,0,0.0,Rejected
Person 8373,42,Retail Manager,2010757,547,Bajaj Finserv,Medical Emergency,0,12,28.37,0,0.0,Rejected
Person 8374,74,Retired (Pension),151664,623,HDFC Bank,Wedding Expenses,1046782,48,30.86,38216,3.024,Rejected
Person 8375,47,Freelance Designer,985434,537,Kotak Mahindra Bank,Home Renovation,0,36,29.15,0,0.0,Rejected
Person 8376,37,Retail Manager,1839831,612,State Bank of India,Medical Emergency,427885,12,23.18,40291,0.263,Rejected
Person 8377,43,Software Engineer,2383855,732,Axis Bank,Debt Consolidation,943167,72,16.54,20740,0.104,Pass
Person 8378,38,Doctor,1392697,699,Axis Bank,Debt Consolidation,821892,60,11.37,18022,0.155,Rejected
Person 8379,43,Freelance Designer,590047,656,Bajaj Finserv,Home Renovation,1147514,60,18.14,29227,0.594,Rejected
Person 8380,43,High School Teacher,526898,595,Bajaj Finserv,Medical Emergency,961187,36,15.17,33400,0.761,Rejected
Person 8381,28,Freelance Designer,188838,565,Bajaj Finserv,Home Renovation,0,36,20.98,0,0.0,Rejected
Person 8382,28,Software Engineer,2913536,653,Kotak Mahindra Bank,Debt Consolidation,347786,48,21.82,10923,0.045,Rejected
Person 8383,24,Construction Worker,279030,601,HDFC Bank,Education (Tuition/Fees),397972,48,20.07,12125,0.521,Rejected
Person 8384,22,University Student,56195,604,ICICI Bank,Vehicle Purchase,425632,36,26.1,17172,3.667,Rejected
Person 8385,41,Retail Manager,2247515,491,Axis Bank,Medical Emergency,0,12,26.05,0,0.0,Rejected
Person 8386,35,High School Teacher,569740,549,ICICI Bank,Home Renovation,0,36,28.41,0,0.0,Rejected
Person 8387,45,CEO,42572194,652,Axis Bank,Travel/Vacation,678994,18,23.85,45241,0.013,Rejected
Person 8388,27,Retail Manager,1766330,522,Bajaj Finserv,Medical Emergency,0,12,35.0,0,0.0,Rejected
Person 8389,47,Freelance Designer,422660,618,HDFC Bank,Home Renovation,397701,36,19.64,14707,0.418,Rejected
Person 8390,35,Software Engineer,1817511,628,HDFC Bank,Debt Consolidation,466087,48,20.31,14260,0.094,Rejected
Person 8391,48,Construction Worker,459992,632,Axis Bank,Education (Tuition/Fees),931724,84,16.91,18992,0.495,Rejected
Person 8392,25,Software Engineer,2053561,639,Kotak Mahindra Bank,Debt Consolidation,504109,48,23.59,16321,0.095,Rejected
Person 8393,51,CEO,43558074,643,Bajaj Finserv,Travel/Vacation,971278,24,21.2,50005,0.014,Rejected
Person 8394,65,Retired (Pension),160196,556,HDFC Bank,Wedding Expenses,0,24,13.39,0,0.0,Rejected
Person 8395,23,University Student,80748,497,HDFC Bank,Wedding Expenses,0,24,35.0,0,0.0,Rejected
Person 8396,61,Retired (Pension),205145,538,State Bank of India,Wedding Expenses,0,24,35.0,0,0.0,Rejected
Person 8397,48,Freelance Designer,1168866,651,HDFC Bank,Home Renovation,651243,48,11.62,17028,0.175,Rejected
Person 8398,28,High School Teacher,320842,515,State Bank of India,Medical Emergency,0,12,25.04,0,0.0,Rejected
Person 8399,20,University Student,110178,527,HDFC Bank,Vehicle Purchase,0,36,35.0,0,0.0,Rejected
Person 8400,59,CEO,34376789,526,HDFC Bank,Travel/Vacation,0,12,19.62,0,0.0,Rejected
Person 8401,42,High School Teacher,718269,470,Kotak Mahindra Bank,Home Renovation,0,36,31.5,0,0.0,Rejected
Person 8402,20,University Student,0,519,Kotak Mahindra Bank,Consumer Durable/Tech,0,12,25.39,0,0.0,Rejected
Person 8403,22,Freelance Designer,617802,670,Bajaj Finserv,Home Renovation,502127,36,10.36,16287,0.316,Pass
Person 8404,24,Freelance Designer,626984,549,HDFC Bank,Home Renovation,0,36,31.94,0,0.0,Rejected
Person 8405,27,High School Teacher,455201,477,Bajaj Finserv,Home Renovation,0,36,28.33,0,0.0,Rejected
Person 8406,36,Doctor,1947716,564,Bajaj Finserv,Debt Consolidation,0,48,23.64,0,0.0,Rejected
Person 8407,25,Software Engineer,2448021,635,Bajaj Finserv,Debt Consolidation,560062,48,24.33,18361,0.09,Rejected
Person 8408,54,Doctor,0,471,Bajaj Finserv,Debt Consolidation,0,48,35.0,0,0.0,Rejected
Person 8409,32,Freelance Designer,610048,666,Axis Bank,Home Renovation,510056,36,13.85,17395,0.342,Rejected
Person 8410,27,Retail Manager,1113241,499,Axis Bank,Medical Emergency,0,12,20.68,0,0.0,Rejected
Person 8411,44,High School Teacher,560921,572,HDFC Bank,Medical Emergency,0,12,28.51,0,0.0,Rejected
Person 8412,47,CEO,32329429,571,Axis Bank,Travel/Vacation,0,12,30.28,0,0.0,Rejected
Person 8413,40,Retail Manager,2145350,560,HDFC Bank,Medical Emergency,0,12,28.27,0,0.0,Rejected
Person 8414,26,High School Teacher,509610,595,Kotak Mahindra Bank,Home Renovation,653946,48,23.6,21175,0.499,Rejected
Person 8415,42,Software Engineer,1220111,654,ICICI Bank,Debt Consolidation,894783,72,24.23,23682,0.233,Rejected
Person 8416,36,Software Engineer,1843241,597,State Bank of India,Debt Consolidation,389052,48,20.96,12039,0.078,Rejected
